user_played, instrument_name, velocity, pitch, start (s), end (s)
False,piano,64,40,0.0,0.5863385937500001
False,piano,64,52,0.0,0.5863385937500001
True,piano,64,59,0.30927750000000004,0.74870928125
True,piano,64,62,0.30927750000000004,0.74870928125
True,piano,64,64,0.30927750000000004,0.74870928125
True,piano,64,67,0.30927750000000004,0.74870928125
False,piano,64,40,0.6185550000000001,1.20489359375
False,piano,64,52,0.6185550000000001,1.20489359375
True,piano,64,59,0.77319375,1.0657187187500001
True,piano,64,62,0.77319375,1.0657187187500001
True,piano,64,64,0.77319375,1.0657187187500001
True,piano,64,67,0.77319375,1.0657187187500001
True,piano,64,66,1.08247125,1.22808940625
True,piano,64,59,1.2371100000000002,1.67654178125
True,piano,64,62,1.2371100000000002,1.67654178125
True,piano,64,64,1.2371100000000002,1.67654178125
False,piano,64,38,1.2371100000000002,1.67654178125
False,piano,64,50,1.2371100000000002,1.67654178125
True,piano,64,59,1.7010262500000002,2.43427165625
True,piano,64,62,1.7010262500000002,2.43427165625
True,piano,64,64,1.7010262500000002,2.43427165625
True,piano,64,69,1.7010262500000002,2.43427165625
False,piano,64,31,1.7010262500000002,2.43427165625
False,piano,64,43,1.7010262500000002,2.43427165625
False,piano,64,36,2.4742200000000003,3.06055859375
False,piano,64,48,2.4742200000000003,3.06055859375
True,piano,64,59,2.7834975,3.2229292812500003
True,piano,64,62,2.7834975,3.2229292812500003
True,piano,64,64,2.7834975,3.2229292812500003
True,piano,64,67,2.7834975,3.2229292812500003
False,piano,64,36,3.092775,3.6791135937500004
False,piano,64,48,3.092775,3.6791135937500004
True,piano,64,59,3.24741375,3.53993871875
True,piano,64,62,3.24741375,3.53993871875
True,piano,64,64,3.24741375,3.53993871875
True,piano,64,67,3.24741375,3.53993871875
True,piano,64,66,3.55669125,3.7023094062500004
True,piano,64,59,3.7113300000000002,4.15076178125
True,piano,64,62,3.7113300000000002,4.15076178125
True,piano,64,67,3.7113300000000002,4.15076178125
False,piano,64,38,3.7113300000000002,4.15076178125
False,piano,64,50,3.7113300000000002,4.15076178125
True,piano,64,59,4.17524625,4.908491656250001
True,piano,64,62,4.17524625,4.908491656250001
True,piano,64,66,4.17524625,4.908491656250001
True,piano,64,69,4.17524625,4.908491656250001
False,piano,64,38,4.17524625,4.908491656250001
False,piano,64,50,4.17524625,4.908491656250001
False,piano,64,40,4.948440000000001,5.5347785937500005
False,piano,64,52,4.948440000000001,5.5347785937500005
True,piano,64,59,5.2577175,5.697149281250001
True,piano,64,62,5.2577175,5.697149281250001
True,piano,64,64,5.2577175,5.697149281250001
True,piano,64,67,5.2577175,5.697149281250001
False,piano,64,40,5.566995,6.15333359375
False,piano,64,52,5.566995,6.15333359375
True,piano,64,59,5.7216337500000005,6.01415871875
True,piano,64,62,5.7216337500000005,6.01415871875
True,piano,64,64,5.7216337500000005,6.01415871875
True,piano,64,67,5.7216337500000005,6.01415871875
True,piano,64,66,6.03091125,6.17652940625
True,piano,64,59,6.18555,6.624981781250001
True,piano,64,62,6.18555,6.624981781250001
True,piano,64,64,6.18555,6.624981781250001
False,piano,64,38,6.18555,6.624981781250001
False,piano,64,50,6.18555,6.624981781250001
True,piano,64,59,6.649466250000001,7.382711656250001
True,piano,64,62,6.649466250000001,7.382711656250001
True,piano,64,64,6.649466250000001,7.382711656250001
True,piano,64,69,6.649466250000001,7.382711656250001
False,piano,64,31,6.649466250000001,7.382711656250001
False,piano,64,43,6.649466250000001,7.382711656250001
False,piano,64,36,7.4226600000000005,8.00899859375
False,piano,64,48,7.4226600000000005,8.00899859375
True,piano,64,59,7.731937500000001,8.17136928125
True,piano,64,62,7.731937500000001,8.17136928125
True,piano,64,64,7.731937500000001,8.17136928125
True,piano,64,67,7.731937500000001,8.17136928125
False,piano,64,36,8.041215000000001,8.627553593750001
False,piano,64,48,8.041215000000001,8.627553593750001
True,piano,64,59,8.195853750000001,8.48837871875
True,piano,64,62,8.195853750000001,8.48837871875
True,piano,64,64,8.195853750000001,8.48837871875
True,piano,64,67,8.195853750000001,8.48837871875
True,piano,64,66,8.50513125,8.65074940625
True,piano,64,59,8.65977,9.09920178125
True,piano,64,62,8.65977,9.09920178125
True,piano,64,67,8.65977,9.09920178125
False,piano,64,38,8.65977,9.09920178125
False,piano,64,50,8.65977,9.09920178125
True,piano,64,59,9.12368625,9.856931656250001
True,piano,64,62,9.12368625,9.856931656250001
True,piano,64,66,9.12368625,9.856931656250001
True,piano,64,69,9.12368625,9.856931656250001
False,piano,64,38,9.12368625,9.856931656250001
False,piano,64,50,9.12368625,9.856931656250001
True,piano,80,67,9.896880000000001,10.18940496875
True,piano,80,76,9.896880000000001,10.18940496875
False,piano,80,40,9.896880000000001,10.18940496875
True,piano,80,67,10.2061575,10.498682468750001
True,piano,80,76,10.2061575,10.498682468750001
False,piano,80,47,10.2061575,10.498682468750001
False,piano,80,52,10.2061575,10.498682468750001
True,piano,80,76,10.515435,10.66105315625
False,piano,80,40,10.515435,10.66105315625
True,piano,80,74,10.67007375,10.81569190625
False,piano,80,47,10.67007375,11.10950553125
False,piano,80,52,10.67007375,11.10950553125
True,piano,80,71,10.8247125,10.97033065625
True,piano,80,74,10.97935125,11.27187621875
False,piano,80,38,11.13399,11.573421781250001
False,piano,80,50,11.13399,11.573421781250001
True,piano,80,71,11.28862875,12.02187415625
False,piano,80,31,11.597906250000001,12.03733803125
False,piano,80,43,11.597906250000001,12.03733803125
True,piano,80,69,12.0618225,12.20744065625
False,piano,80,31,12.0618225,12.354347468750001
False,piano,80,43,12.0618225,12.354347468750001
True,piano,80,67,12.21646125,12.36207940625
True,piano,80,69,12.3711,12.663624968750002
False,piano,80,36,12.3711,12.663624968750002
True,piano,80,69,12.6803775,12.97290246875
False,piano,80,43,12.6803775,12.97290246875
False,piano,80,48,12.6803775,12.97290246875
True,piano,80,69,12.989655,13.135273156250001
False,piano,80,36,12.989655,13.135273156250001
True,piano,80,67,13.144293750000001,13.289911906250001
False,piano,80,43,13.144293750000001,13.583725531250002
False,piano,80,48,13.144293750000001,13.583725531250002
True,piano,80,69,13.298932500000001,13.444550656250001
True,piano,80,71,13.453571250000001,13.74609621875
False,piano,80,38,13.608210000000001,14.04764178125
False,piano,80,50,13.608210000000001,14.04764178125
True,piano,80,67,13.762848750000002,13.90846690625
True,piano,80,66,13.9174875,14.35691928125
True,piano,80,78,13.9174875,14.35691928125
False,piano,80,38,14.07212625,14.51155803125
False,piano,80,50,14.07212625,14.51155803125
True,piano,80,67,14.38140375,14.820835531250001
True,piano,80,79,14.38140375,14.820835531250001
False,piano,80,38,14.5360425,14.82856746875
False,piano,80,50,14.5360425,14.82856746875
True,piano,80,67,14.845320000000001,15.13784496875
True,piano,80,76,14.845320000000001,15.13784496875
False,piano,80,40,14.845320000000001,15.13784496875
True,piano,80,67,15.154597500000001,15.44712246875
True,piano,80,76,15.154597500000001,15.44712246875
False,piano,80,47,15.154597500000001,15.44712246875
